status,issue,prefab_path,source_material_path,gallery_material_path,material_name,source_shader,target_shader
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Interior Pack - Low Poly 3D Art/Prefabs/Other/Clocks/Individual Parts/SFI_Grandfather_Clock.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Interior Pack - Low Poly 3D Art/Prefabs/Other/Clocks/SFI_Grandfather_Clock 1.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Market - Low Poly 3D Art/Prefabs/Stalls/Armory/Weapons/Bow/Parts/SFM_ARP_Bow_String.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Tavern & Kitchen - Low Poly 3D Art/Prefabs/Bar Props/Tables/Themed Tables/Miner_Table.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Tavern & Kitchen - Low Poly 3D Art/Prefabs/Decorative Props/Themed Props/Miner Props/SFT_Goggles.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Building Attachables/Attic Window/SFV_Roof_Window_Attachable_001 1.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Empty Walls/Walls/Wooden/Windows/Individual Parts/SFV_Window_Wall_Wooden_M_Empty - Copy.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Empty Walls/Walls/Wooden/Windows/Individual Parts/SFV_Window_Wall_Wooden_S_Empty.prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Empty Walls/Walls/Wooden/Windows/SFV_Window_Wall_Wooden_M_Empty (1).prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
"gallery_copy_applied","missing_material","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Village - Low Poly 3D Art/Prefabs/Buildings/Empty Walls/Walls/Wooden/Windows/SFV_Window_Wall_Wooden_M_Empty (1).prefab","","Assets/BornToDig/PrefabGallery/GalleryMaterials/MissingMaterial_missing.mat","MissingMaterial","<missing>","Universal Render Pipeline/Lit"
